Episode,Throughput,Workload,Safety,StateIndex,Action
1,10,3.33577991308997,1,4,1
2,20,8.4031218213767,1,8,1
3,30,9.84647273284911,1,9,1
4,40,4.13725492101368,1,6,1
5,50,1.3722337084541,1,3,1
6,60,1.78888825470412,1,2,1
7,61.0317185328742,0.554005222626371,1,2,1
8,59.9029684229614,9.74790459617511,1,9,1
9,60.8687485371774,5.06015837304015,1,4,1
10,60.7707671866744,6.99890549079315,1,8,1
11,61.2084603335466,0.184058409352259,1,1,1
12,62.7132517307921,6.7230446399708,1,9,1
13,63.65540736078,0,1,9,2
14,64.1994619809945,1.73327536329213,1,1,1
15,63.7578832637788,1.84697238755058,1,3,1
16,63.8034055439896,1.69816186803336,1,3,1
17,63.6959142068491,2.9076501802887,1,1,1
18,62.8069676002814,6.14855582693307,1,5,1
19,63.932704569765,2.67608261164237,1,6,1
20,63.324248537607,3.22227115091657,1,1,1
21,62.6468278813506,7.06501229009427,1,5,1
22,62.3183967561348,1.47640769548614,1,1,1
23,61.5141990216755,3.6127364141623,1,3,1
24,62.476311878573,2.19693427909302,1,6,1
25,62.5493000551931,4.24603911866722,1,6,1
26,62.8568696254682,6.5249165592512,1,8,1
27,62.3806724160545,2.27853781605675,1,3,1
28,60.9080584482865,8.25874897473185,1,6,1
29,61.0493021427958,5.41492513793071,1,5,1
30,60.7437548358567,0.520973455654901,1,3,1
31,60.9494387017093,5.35735846927268,1,4,1
32,61.2423531904689,0,1,2,2
33,61.2100365429174,0.639149256492314,1,1,1
34,60.9375698569706,5.32465539696851,1,7,3
35,60.9346389962858,4.74716229874069,1,7,3
36,60.9868147748781,7.61579980083403,1,8,1
37,61.0488672230065,2.84041349979555,1,2,1
38,61.4599535393481,0.709323927089395,1,3,1
39,61.774061554658,2.62050338215816,1,7,3
40,61.8301511424133,4.0834526593541,1,5,1
41,61.3727284577925,1.54323778214245,1,2,1
42,61.2650618239961,5.14793336501419,1,6,1
43,61.1840101992322,0.354260329458944,1,2,1
44,61.3758956757076,7.61032525169331,1,8,1
45,61.0591699472157,3.10013832715335,1,3,1
46,60.8387923658425,7.57631225540942,1,8,1
47,61.3034707866495,1.96651492411756,1,1,1
48,61.6353093107004,0,1,4,2
49,61.5415694682293,5.63268969797923,1,6,1
50,61.7283428593644,1.52361660767042,1,1,1
51,61.7135546524057,9.32424870047473,1,9,1
52,61.6888038455124,7.6842125456379,1,8,1
53,61.7873474306451,8.29814536414735,1,9,1
54,61.3643878449466,11.8932739943577,1,9,1
55,61.1646227936473,6.84532974456936,1,6,1
56,61.576545729775,0,1,8,2
57,61.58624326547,0.853535095751563,1,3,1
58,61.6111088256773,1.85828889631507,1,2,1
59,61.4405780729469,0.507600166348246,1,2,1
60,61.3793571166032,3.32282941617419,1,2,1
61,61.719007926643,2.44129428943366,1,6,1
62,61.8509856159897,0,1,3,2
